configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,1391255085.298197
1,1,1,0,1,0,1,13880631.208845206
10,1,0,1,1,1,0,13568027.31886047
11,1,0,1,1,1,1,13568991.050379137
12,0,0,1,1,1,1,1401404108.8187487
13,1,0,1,0,1,1,13567453.905855782
14,0,1,1,1,0,0,1190023004.2156925
15,0,0,1,0,0,1,1393827820.9789288
16,1,1,1,1,0,1,14052456.133011894
17,0,1,0,1,0,1,1393592690.037755
18,0,1,0,0,1,0,1400628136.8992991
19,0,1,0,0,0,1,1207837079.8808973
2,1,0,1,1,0,0,13840864.677471168
20,1,0,0,0,0,1,13808816.328956796
21,0,0,0,0,0,1,1391357679.1708677
22,1,1,0,1,0,0,13826862.09443858
23,0,1,1,0,1,0,1393165772.363372
24,1,1,1,1,1,0,13774561.222623287
25,0,1,1,0,0,1,1205678577.3041015
26,1,1,1,0,0,0,13669843.67644806
27,0,0,1,0,1,0,1240956359.8957605
28,1,0,0,0,1,0,13702941.29630926
29,1,1,0,0,1,1,13589874.42287955
3,1,0,1,0,0,0,13499856.15417273
4,1,1,1,1,1,1,13993072.547805127
5,1,0,0,1,1,1,13878533.504000565
6,1,0,0,1,0,1,13666602.030153478
7,0,0,0,1,1,1,1392438233.284952
8,0,0,1,1,0,1,1255400970.36218
9,0,1,1,1,1,1,1192279683.823643
