configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,175425,0.197
1,tiff,1,1,0,1,175425,0.173
10,png,1,0,1,1,169388,0.173
11,png,1,0,0,1,169439,0.196
12,png,0,1,0,0,1185043,2.907
13,png,0,0,0,0,1185035,2.883
14,png,0,0,0,1,1184911,2.916
15,png,0,1,1,0,1185014,2.87
2,tiff,1,0,1,1,175431,0.198
3,tiff,1,0,0,1,175431,0.171
4,tiff,0,1,0,0,1698496,0.363
5,tiff,0,0,0,0,1698378,0.365
6,tiff,0,0,0,1,1696978,0.342
7,tiff,0,1,1,0,1698525,0.366
8,png,1,1,1,1,169394,0.2
9,png,1,1,0,1,169425,0.201
