configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,6362670,6.044
1,tiff,1,1,0,1,6362687,6.025
10,png,1,0,1,1,6662450,12.272
11,png,1,0,0,1,6662462,12.283
12,png,0,1,0,0,10651899,31.674
13,png,0,0,0,0,10652059,31.886
14,png,0,0,0,1,10651937,32.005
15,png,0,1,1,0,10652031,31.829
2,tiff,1,0,1,1,6362710,6.084
3,tiff,1,0,0,1,6362705,6.089
4,tiff,0,1,0,0,11408984,9.384
5,tiff,0,0,0,0,11408933,9.288
6,tiff,0,0,0,1,11409669,9.264
7,tiff,0,1,1,0,11409398,9.292
8,png,1,1,1,1,6662508,12.328
9,png,1,1,0,1,6662463,12.265
