configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1612612,1.332
1,tiff,1,1,0,1,1612745,1.339
10,png,1,0,1,1,1577712,3.061
11,png,1,0,0,1,1577745,3.117
12,png,0,1,0,0,2357295,5.072
13,png,0,0,0,0,2357306,5.076
14,png,0,0,0,1,2341654,4.882
15,png,0,1,1,0,2357301,5.077
2,tiff,1,0,1,1,1612737,1.332
3,tiff,1,0,0,1,1612631,1.329
4,tiff,0,1,0,0,2761978,1.407
5,tiff,0,0,0,0,2761386,1.426
6,tiff,0,0,0,1,2744981,1.374
7,tiff,0,1,1,0,2761842,1.388
8,png,1,1,1,1,1577743,3.129
9,png,1,1,0,1,1577729,3.094
