configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,3273959,5.454
1,tiff,1,1,0,1,3274056,5.452
10,png,1,0,1,1,3254955,8.827
11,png,1,0,0,1,3254947,8.83
12,png,0,1,0,0,8502374,26.155
13,png,0,0,0,0,8502335,26.064
14,png,0,0,0,1,8502334,26.283
15,png,0,1,1,0,8502371,26.068
2,tiff,1,0,1,1,3274085,5.456
3,tiff,1,0,0,1,3273991,5.442
4,tiff,0,1,0,0,10068898,6.145
5,tiff,0,0,0,0,10068816,6.165
6,tiff,0,0,0,1,10068907,6.12
7,tiff,0,1,1,0,10068888,6.178
8,png,1,1,1,1,3254921,8.781
9,png,1,1,0,1,3254978,8.854
