configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1205835,1.142
1,tiff,1,1,0,1,1205862,1.172
10,png,1,0,1,1,1349664,2.507
11,png,1,0,0,1,1349600,2.553
12,png,0,1,0,0,3177536,5.023
13,png,0,0,0,0,3178115,5.005
14,png,0,0,0,1,3177547,4.995
15,png,0,1,1,0,3177545,5.024
2,tiff,1,0,1,1,1205623,1.168
3,tiff,1,0,0,1,1205597,1.137
4,tiff,0,1,0,0,3875927,1.33
5,tiff,0,0,0,0,3875896,1.32
6,tiff,0,0,0,1,3875933,1.33
7,tiff,0,1,1,0,3875928,1.305
8,png,1,1,1,1,1349670,2.564
9,png,1,1,0,1,1349687,2.534
