configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,739164,1.684
1,tiff,1,1,0,1,739163,1.696
10,png,1,0,1,1,739160,1.691
11,png,1,0,0,1,739164,1.729
12,png,0,1,0,0,3168070,5.433
13,png,0,0,0,0,3168073,5.431
14,png,0,0,0,1,3168074,5.409
15,png,0,1,1,0,3168071,5.425
2,tiff,1,0,1,1,739163,1.69
3,tiff,1,0,0,1,739163,1.706
4,tiff,0,1,0,0,4807632,1.826
5,tiff,0,0,0,0,4807725,1.794
6,tiff,0,0,0,1,4807625,1.799
7,tiff,0,1,1,0,4807732,1.801
8,png,1,1,1,1,739164,1.708
9,png,1,1,0,1,739164,1.722
