configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1536667,1.831
1,tiff,1,1,0,1,1536657,1.866
10,png,1,0,1,1,1615762,3.523
11,png,1,0,0,1,1615767,3.561
12,png,0,1,0,0,1843150,3.68
13,png,0,0,0,0,1843141,3.678
14,png,0,0,0,1,1843154,3.66
15,png,0,1,1,0,1843152,3.755
2,tiff,1,0,1,1,1536667,1.85
3,tiff,1,0,0,1,1536664,1.873
4,tiff,0,1,0,0,1795111,1.872
5,tiff,0,0,0,0,1795133,1.856
6,tiff,0,0,0,1,1795105,1.84
7,tiff,0,1,1,0,1795116,1.884
8,png,1,1,1,1,1615758,3.496
9,png,1,1,0,1,1615761,3.532
