configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,15255181,8.304
1,tiff,1,1,0,1,15255208,8.317
10,png,1,0,1,1,15095093,24.878
11,png,1,0,0,1,15095104,24.861
12,png,0,1,0,0,14807451,31.679
13,png,0,0,0,0,14807406,31.539
14,png,0,0,0,1,14807435,31.518
15,png,0,1,1,0,14807363,31.662
2,tiff,1,0,1,1,15255116,8.263
3,tiff,1,0,0,1,15255221,8.313
4,tiff,0,1,0,0,14377468,8.823
5,tiff,0,0,0,0,14377688,8.811
6,tiff,0,0,0,1,14376917,8.795
7,tiff,0,1,1,0,14377505,8.819
8,png,1,1,1,1,15095078,24.834
9,png,1,1,0,1,15095110,24.892
