configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,175432,0.198
1,tiff,1,1,0,1,175492,0.197
10,png,1,0,1,1,169391,0.172
11,png,1,0,0,1,169391,0.169
12,png,0,1,0,0,1185033,2.924
13,png,0,0,0,0,1185028,2.873
14,png,0,0,0,1,1184904,2.926
15,png,0,1,1,0,1185042,2.866
2,tiff,1,0,1,1,175429,0.172
3,tiff,1,0,0,1,175507,0.197
4,tiff,0,1,0,0,1698411,0.379
5,tiff,0,0,0,0,1698458,0.382
6,tiff,0,0,0,1,1696575,0.358
7,tiff,0,1,1,0,1698320,0.344
8,png,1,1,1,1,169394,0.198
9,png,1,1,0,1,169394,0.174
