configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,739163,1.709
1,tiff,1,1,0,1,739164,1.708
10,png,1,0,1,1,739163,1.74
11,png,1,0,0,1,739164,1.7
12,png,0,1,0,0,3168071,5.372
13,png,0,0,0,0,3168071,5.367
14,png,0,0,0,1,3168073,5.428
15,png,0,1,1,0,3168071,5.407
2,tiff,1,0,1,1,739163,1.735
3,tiff,1,0,0,1,739163,1.68
4,tiff,0,1,0,0,4807702,1.795
5,tiff,0,0,0,0,4807708,1.826
6,tiff,0,0,0,1,4807718,1.796
7,tiff,0,1,1,0,4807716,1.836
8,png,1,1,1,1,739163,1.688
9,png,1,1,0,1,739164,1.704
