configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,175434,0.202
1,tiff,1,1,0,1,175434,0.174
10,png,1,0,1,1,169396,0.174
11,png,1,0,0,1,169396,0.199
12,png,0,1,0,0,1185048,2.925
13,png,0,0,0,0,1185049,2.886
14,png,0,0,0,1,1184926,2.885
15,png,0,1,1,0,1185048,2.868
2,tiff,1,0,1,1,175435,0.204
3,tiff,1,0,0,1,175435,0.175
4,tiff,0,1,0,0,1698471,0.374
5,tiff,0,0,0,0,1698337,0.366
6,tiff,0,0,0,1,1696561,0.372
7,tiff,0,1,1,0,1698469,0.351
8,png,1,1,1,1,169391,0.176
9,png,1,1,0,1,169391,0.171
