configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1536658,1.855
1,tiff,1,1,0,1,1536638,1.873
10,png,1,0,1,1,1615778,3.558
11,png,1,0,0,1,1615752,3.614
12,png,0,1,0,0,1843154,3.748
13,png,0,0,0,0,1843143,3.73
14,png,0,0,0,1,1843149,3.755
15,png,0,1,1,0,1843141,3.711
2,tiff,1,0,1,1,1536657,1.856
3,tiff,1,0,0,1,1536644,1.881
4,tiff,0,1,0,0,1795124,1.894
5,tiff,0,0,0,0,1795010,1.883
6,tiff,0,0,0,1,1795108,1.856
7,tiff,0,1,1,0,1795013,1.923
8,png,1,1,1,1,1615766,3.521
9,png,1,1,0,1,1615761,3.553
