configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1206021,1.148
1,tiff,1,1,0,1,1205849,1.148
10,png,1,0,1,1,1349732,2.524
11,png,1,0,0,1,1349652,2.564
12,png,0,1,0,0,3177555,5.026
13,png,0,0,0,0,3177559,5.031
14,png,0,0,0,1,3177569,5.028
15,png,0,1,1,0,3177565,4.963
2,tiff,1,0,1,1,1205613,1.175
3,tiff,1,0,0,1,1205630,1.186
4,tiff,0,1,0,0,3875943,1.309
5,tiff,0,0,0,0,3876297,1.314
6,tiff,0,0,0,1,3876312,1.354
7,tiff,0,1,1,0,3876295,1.315
8,png,1,1,1,1,1349687,2.57
9,png,1,1,0,1,1349680,2.534
