configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,2213281,4.288
1,tiff,1,1,0,1,2214510,4.187
10,png,1,0,1,1,1753348,8.31
11,png,1,0,0,1,1753335,8.324
12,png,0,1,0,0,1894326,8.284
13,png,0,0,0,0,1894288,8.388
14,png,0,0,0,1,1894272,8.301
15,png,0,1,1,0,1894348,8.286
2,tiff,1,0,1,1,2213281,4.256
3,tiff,1,0,0,1,2213096,4.253
4,tiff,0,1,0,0,2401169,4.259
5,tiff,0,0,0,0,2401038,4.271
6,tiff,0,0,0,1,2401747,4.238
7,tiff,0,1,1,0,2400688,4.255
8,png,1,1,1,1,1753307,8.205
9,png,1,1,0,1,1753361,8.257
