configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1205590,0m1.171s
1,tiff,1,1,0,1,1205927,0m1.147s
10,png,1,0,1,1,1349684,0m2.532s
11,png,1,0,0,1,1349677,0m2.541s
12,png,0,1,0,0,3177557,0m4.989s
13,png,0,0,0,0,3177562,0m4.976s
14,png,0,0,0,1,3177563,0m5.020s
15,png,0,1,1,0,3177551,0m5.009s
2,tiff,1,0,1,1,1205598,0m1.154s
3,tiff,1,0,0,1,1205577,0m1.168s
4,tiff,0,1,0,0,3876491,0m1.329s
5,tiff,0,0,0,0,3876602,0m1.307s
6,tiff,0,0,0,1,3876596,0m1.330s
7,tiff,0,1,1,0,3876623,0m1.376s
8,png,1,1,1,1,1349804,0m2.539s
9,png,1,1,0,1,1349706,0m2.566s
