configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,739164,0m1.691s
1,tiff,1,1,0,1,739161,0m1.724s
10,png,1,0,1,1,739164,0m1.691s
11,png,1,0,0,1,739164,0m1.754s
12,png,0,1,0,0,3168071,0m5.431s
13,png,0,0,0,0,3168071,0m5.436s
14,png,0,0,0,1,3168072,0m5.420s
15,png,0,1,1,0,3168071,0m5.421s
2,tiff,1,0,1,1,739164,0m1.708s
3,tiff,1,0,0,1,739165,0m1.724s
4,tiff,0,1,0,0,4807621,0m1.828s
5,tiff,0,0,0,0,4807625,0m1.817s
6,tiff,0,0,0,1,4807717,0m1.841s
7,tiff,0,1,1,0,4807629,0m1.809s
8,png,1,1,1,1,739163,0m1.723s
9,png,1,1,0,1,739164,0m1.696s
