configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,0.09934561855596333
1,1,1,0,1,0,1,0.01621174485208478
10,1,0,1,1,1,0,0.01628067631208004
11,1,0,1,1,1,1,0.016253508484299146
12,0,0,1,1,1,1,0.10227974391528706
13,1,0,1,0,1,1,0.016306871837201566
14,0,1,1,1,0,0,0.10143589452890854
15,0,0,1,0,0,1,0.10211393142102017
16,1,1,1,1,0,1,0.016107870235204925
17,0,1,0,1,0,1,0.09865994204399534
18,0,1,0,0,1,0,0.10115159609838052
19,0,1,0,0,0,1,0.10163235999360637
2,1,0,1,1,0,0,0.01611417468210867
20,1,0,0,0,0,1,0.016312106607919628
21,0,0,0,0,0,1,0.1025992772540856
22,1,1,0,1,0,0,0.01620538424654329
23,0,1,1,0,1,0,0.1032990825142662
24,1,1,1,1,1,0,0.016147060253779117
25,0,1,1,0,0,1,0.09965419427383594
26,1,1,1,0,0,0,0.01630421852864593
27,0,0,1,0,1,0,0.10092518519582352
28,1,0,0,0,1,0,0.0162453374127022
29,1,1,0,0,1,1,0.016162299869054757
3,1,0,1,0,0,0,0.01611165209585684
4,1,1,1,1,1,1,0.016269935171806013
5,1,0,0,1,1,1,0.016099612977647806
6,1,0,0,1,0,1,0.01598205861308279
7,0,0,0,1,1,1,0.09207632388212952
8,0,0,1,1,0,1,0.10156469172479324
9,0,1,1,1,1,1,0.10098794026371527
