configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,14838428,3.16
1,50%,xz,-3,1,14777004,9.723
10,100%,xz,-9,1,13374160,27.291
11,50%,lzma,-6,16,13497551,24.237
12,75%,xz,-3,32,14838428,3.13
13,50%,lzma,-3,16,14775082,9.705
14,50%,lzma,-6,32,13497551,24.153
15,50%,xz,-6,32,13577880,12.759
16,75%,lzma,-3,16,14775082,9.688
17,75%,lzma,-6,32,13497551,24.204
18,100%,lzma,-6,1,13497551,24.236
19,75%,lzma,-3,1,14775082,9.692
2,75%,xz,-9,16,13374168,27.293
20,75%,lzma,-6,1,13497551,24.219
21,75%,lzma,-6,16,13497551,24.234
22,100%,xz,-9,32,13374168,27.312
23,100%,xz,-9,16,13374168,27.208
24,50%,lzma,-9,32,13365111,27.287
25,50%,lzma,-3,32,14775082,9.692
26,100%,xz,-3,1,14777004,9.699
27,100%,lzma,-9,16,13365111,27.227
28,100%,lzma,-3,1,14775082,9.721
29,50%,lzma,-6,1,13497551,24.362
3,100%,xz,-6,32,13577880,12.758
4,50%,lzma,-3,1,14775082,9.683
5,75%,xz,-3,1,14777004,9.755
6,100%,lzma,-6,16,13497551,24.285
7,75%,xz,-6,32,13577880,12.858
8,50%,xz,-3,32,14838428,3.147
9,75%,xz,-9,32,13374168,27.216
