configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1206178,0m1.156s
1,tiff,1,1,0,1,1205605,0m1.164s
10,png,1,0,1,1,1349771,0m2.513s
11,png,1,0,0,1,1349687,0m2.528s
12,png,0,1,0,0,3177564,0m5.041s
13,png,0,0,0,0,3177570,0m5.015s
14,png,0,0,0,1,3177571,0m4.968s
15,png,0,1,1,0,3177563,0m4.981s
2,tiff,1,0,1,1,1205582,0m1.149s
3,tiff,1,0,0,1,1205578,0m1.142s
4,tiff,0,1,0,0,3875941,0m1.304s
5,tiff,0,0,0,0,3875960,0m1.312s
6,tiff,0,0,0,1,3875950,0m1.315s
7,tiff,0,1,1,0,3875956,0m1.356s
8,png,1,1,1,1,1349683,0m2.538s
9,png,1,1,0,1,1349780,0m2.548s
