configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,6362681,0m6.105s
1,tiff,1,1,0,1,6362645,0m6.219s
10,png,1,0,1,1,6662523,0m12.327s
11,png,1,0,0,1,6662712,0m12.347s
12,png,0,1,0,0,10651929,0m31.711s
13,png,0,0,0,0,10651923,0m31.783s
14,png,0,0,0,1,10651926,0m31.806s
15,png,0,1,1,0,10651953,0m31.855s
2,tiff,1,0,1,1,6362667,0m6.104s
3,tiff,1,0,0,1,6362641,0m6.126s
4,tiff,0,1,0,0,11409725,0m9.547s
5,tiff,0,0,0,0,11409210,0m9.743s
6,tiff,0,0,0,1,11409212,0m9.341s
7,tiff,0,1,1,0,11409744,0m9.501s
8,png,1,1,1,1,6662469,0m12.381s
9,png,1,1,0,1,6662766,0m12.321s
