configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,3001852,2.713
1,50%,xz,-3,1,3001844,2.742
10,100%,xz,-9,1,2750272,5.468
11,50%,lzma,-6,16,2749760,5.402
12,75%,xz,-3,32,3001852,2.734
13,50%,lzma,-3,16,3001334,2.686
14,50%,lzma,-6,32,2749760,5.395
15,50%,xz,-6,32,2750236,5.416
16,75%,lzma,-3,16,3001334,2.646
17,75%,lzma,-6,32,2749760,5.375
18,100%,lzma,-6,1,2749760,5.4
19,75%,lzma,-3,1,3001334,2.686
2,75%,xz,-9,16,2750280,5.541
20,75%,lzma,-6,1,2749760,5.477
21,75%,lzma,-6,16,2749760,5.426
22,100%,xz,-9,32,2750280,5.511
23,100%,xz,-9,16,2750280,5.538
24,50%,lzma,-9,32,2749803,5.473
25,50%,lzma,-3,32,3001334,2.69
26,100%,xz,-3,1,3001844,2.717
27,100%,lzma,-9,16,2749803,5.482
28,100%,lzma,-3,1,3001334,2.71
29,50%,lzma,-6,1,2749760,5.4
3,100%,xz,-6,32,2750236,5.388
4,50%,lzma,-3,1,3001334,2.65
5,75%,xz,-3,1,3001844,2.701
6,100%,lzma,-6,16,2749760,5.385
7,75%,xz,-6,32,2750236,5.393
8,50%,xz,-3,32,3001852,2.716
9,75%,xz,-9,32,2750280,5.512
