configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,3273971,0m5.480s
1,tiff,1,1,0,1,3273999,0m5.452s
10,png,1,0,1,1,3254964,0m8.856s
11,png,1,0,0,1,3254988,0m8.855s
12,png,0,1,0,0,8502351,0m26.133s
13,png,0,0,0,0,8502363,0m25.967s
14,png,0,0,0,1,8502341,0m26.084s
15,png,0,1,1,0,8502334,0m26.123s
2,tiff,1,0,1,1,3273947,0m5.474s
3,tiff,1,0,0,1,3273918,0m5.510s
4,tiff,0,1,0,0,10068880,0m6.104s
5,tiff,0,0,0,0,10068921,0m6.198s
6,tiff,0,0,0,1,10068937,0m6.129s
7,tiff,0,1,1,0,10068846,0m6.164s
8,png,1,1,1,1,3254927,0m8.821s
9,png,1,1,0,1,3254936,0m8.825s
