configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,2214584,0m4.182s
1,tiff,1,1,0,1,2214643,0m4.230s
10,png,1,0,1,1,1753343,0m8.298s
11,png,1,0,0,1,1753579,0m8.242s
12,png,0,1,0,0,1894342,0m8.354s
13,png,0,0,0,0,1894468,0m8.325s
14,png,0,0,0,1,1894318,0m8.315s
15,png,0,1,1,0,1894398,0m8.286s
2,tiff,1,0,1,1,2214592,0m4.202s
3,tiff,1,0,0,1,2213170,0m4.219s
4,tiff,0,1,0,0,2400327,0m4.199s
5,tiff,0,0,0,0,2400538,0m4.317s
6,tiff,0,0,0,1,2399938,0m4.247s
7,tiff,0,1,1,0,2401863,0m4.203s
8,png,1,1,1,1,1753423,0m8.256s
9,png,1,1,0,1,1753388,0m8.281s
