configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,515648,0.448
1,50%,xz,-3,1,515648,0.474
10,100%,xz,-9,1,453260,1.501
11,50%,lzma,-6,16,453144,1.43
12,75%,xz,-3,32,515648,0.447
13,50%,lzma,-3,16,515524,0.428
14,50%,lzma,-6,32,453144,1.399
15,50%,xz,-6,32,453260,1.44
16,75%,lzma,-3,16,515524,0.431
17,75%,lzma,-6,32,453144,1.435
18,100%,lzma,-6,1,453144,1.404
19,75%,lzma,-3,1,515524,0.453
2,75%,xz,-9,16,453260,1.468
20,75%,lzma,-6,1,453144,1.432
21,75%,lzma,-6,16,453144,1.431
22,100%,xz,-9,32,453260,1.485
23,100%,xz,-9,16,453260,1.483
24,50%,lzma,-9,32,453144,1.467
25,50%,lzma,-3,32,515524,0.432
26,100%,xz,-3,1,515648,0.453
27,100%,lzma,-9,16,453144,1.473
28,100%,lzma,-3,1,515524,0.451
29,50%,lzma,-6,1,453144,1.402
3,100%,xz,-6,32,453260,1.442
4,50%,lzma,-3,1,515524,0.456
5,75%,xz,-3,1,515648,0.471
6,100%,lzma,-6,16,453144,1.404
7,75%,xz,-6,32,453260,1.471
8,50%,xz,-3,32,515648,0.445
9,75%,xz,-9,32,453260,1.5
