configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,4244480,3.041
1,50%,xz,-3,1,4244480,3.086
10,100%,xz,-9,1,3763616,8.42
11,50%,lzma,-6,16,3786768,8.07
12,75%,xz,-3,32,4244480,3.058
13,50%,lzma,-3,16,4243773,2.988
14,50%,lzma,-6,32,3786768,8.082
15,50%,xz,-6,32,3787400,8.082
16,75%,lzma,-3,16,4243773,3.036
17,75%,lzma,-6,32,3786768,8.081
18,100%,lzma,-6,1,3786768,8.04
19,75%,lzma,-3,1,4243773,3.041
2,75%,xz,-9,16,3763616,8.379
20,75%,lzma,-6,1,3786768,8.043
21,75%,lzma,-6,16,3786768,8.05
22,100%,xz,-9,32,3763616,8.391
23,100%,xz,-9,16,3763616,8.386
24,50%,lzma,-9,32,3762987,8.363
25,50%,lzma,-3,32,4243773,2.985
26,100%,xz,-3,1,4244480,3.073
27,100%,lzma,-9,16,3762987,8.352
28,100%,lzma,-3,1,4243773,3.047
29,50%,lzma,-6,1,3786768,8.037
3,100%,xz,-6,32,3787400,8.117
4,50%,lzma,-3,1,4243773,2.972
5,75%,xz,-3,1,4244480,3.078
6,100%,lzma,-6,16,3786768,8.073
7,75%,xz,-6,32,3787400,8.095
8,50%,xz,-3,32,4244480,3.101
9,75%,xz,-9,32,3763616,8.414
