configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,175434,0m0.198s
1,tiff,1,1,0,1,175434,0m0.200s
10,png,1,0,1,1,169386,0m0.202s
11,png,1,0,0,1,169386,0m0.204s
12,png,0,1,0,0,1185026,0m2.911s
13,png,0,0,0,0,1185024,0m2.886s
14,png,0,0,0,1,1184907,0m2.899s
15,png,0,1,1,0,1185023,0m2.876s
2,tiff,1,0,1,1,175433,0m0.175s
3,tiff,1,0,0,1,175433,0m0.198s
4,tiff,0,1,0,0,1698461,0m0.348s
5,tiff,0,0,0,0,1698510,0m0.349s
6,tiff,0,0,0,1,1696508,0m0.346s
7,tiff,0,1,1,0,1698453,0m0.369s
8,png,1,1,1,1,169468,0m0.174s
9,png,1,1,0,1,169383,0m0.171s
