configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,739164,0m1.699s
1,tiff,1,1,0,1,739164,0m1.715s
10,png,1,0,1,1,739165,0m1.697s
11,png,1,0,0,1,739164,0m1.695s
12,png,0,1,0,0,3168071,0m5.432s
13,png,0,0,0,0,3168071,0m5.394s
14,png,0,0,0,1,3168071,0m5.399s
15,png,0,1,1,0,3168069,0m5.383s
2,tiff,1,0,1,1,739162,0m1.771s
3,tiff,1,0,0,1,739162,0m1.720s
4,tiff,0,1,0,0,4807632,0m1.829s
5,tiff,0,0,0,0,4807713,0m1.831s
6,tiff,0,0,0,1,4807710,0m1.833s
7,tiff,0,1,1,0,4807714,0m1.841s
8,png,1,1,1,1,739161,0m1.725s
9,png,1,1,0,1,739164,0m1.701s
