configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1205593,0m1.189s
1,tiff,1,1,0,1,1205816,0m1.181s
10,png,1,0,1,1,1349683,0m2.508s
11,png,1,0,0,1,1349699,0m2.515s
12,png,0,1,0,0,3177561,0m5.154s
13,png,0,0,0,0,3177555,0m5.026s
14,png,0,0,0,1,3177565,0m4.979s
15,png,0,1,1,0,3177568,0m5.010s
2,tiff,1,0,1,1,1205619,0m1.144s
3,tiff,1,0,0,1,1205599,0m1.265s
4,tiff,0,1,0,0,3875929,0m1.339s
5,tiff,0,0,0,0,3876379,0m1.336s
6,tiff,0,0,0,1,3875931,0m1.335s
7,tiff,0,1,1,0,3875916,0m1.304s
8,png,1,1,1,1,1349681,0m2.534s
9,png,1,1,0,1,1349675,0m2.527s
