configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,112,0m3.181s
1,tiff,1,1,0,1,112,0m3.156s
10,png,1,0,1,1,112,0m3.143s
11,png,1,0,0,1,112,0m3.146s
12,png,0,1,0,0,112,0m3.152s
13,png,0,0,0,0,112,0m3.174s
14,png,0,0,0,1,112,0m3.165s
15,png,0,1,1,0,112,0m3.171s
2,tiff,1,0,1,1,112,0m3.185s
3,tiff,1,0,0,1,112,0m3.180s
4,tiff,0,1,0,0,112,0m3.173s
5,tiff,0,0,0,0,112,0m3.142s
6,tiff,0,0,0,1,112,0m3.145s
7,tiff,0,1,1,0,112,0m3.169s
8,png,1,1,1,1,112,0m3.173s
9,png,1,1,0,1,112,0m3.175s
