configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1612681,0m1.330s
1,tiff,1,1,0,1,1612706,0m1.335s
10,png,1,0,1,1,1577755,0m3.103s
11,png,1,0,0,1,1577756,0m3.095s
12,png,0,1,0,0,2357336,0m5.096s
13,png,0,0,0,0,2357325,0m5.114s
14,png,0,0,0,1,2341696,0m4.871s
15,png,0,1,1,0,2357338,0m5.083s
2,tiff,1,0,1,1,1612700,0m1.351s
3,tiff,1,0,0,1,1612699,0m1.308s
4,tiff,0,1,0,0,2762581,0m1.422s
5,tiff,0,0,0,0,2762597,0m1.420s
6,tiff,0,0,0,1,2745027,0m1.407s
7,tiff,0,1,1,0,2762575,0m1.396s
8,png,1,1,1,1,1577759,0m3.107s
9,png,1,1,0,1,1577747,0m3.149s
