configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1536647,0m1.876s
1,tiff,1,1,0,1,1536642,0m1.927s
10,png,1,0,1,1,1615739,0m3.546s
11,png,1,0,0,1,1615742,0m3.541s
12,png,0,1,0,0,1843133,0m4.037s
13,png,0,0,0,0,1843162,0m3.709s
14,png,0,0,0,1,1843128,0m3.710s
15,png,0,1,1,0,1843131,0m3.703s
2,tiff,1,0,1,1,1536650,0m1.862s
3,tiff,1,0,0,1,1536663,0m1.854s
4,tiff,0,1,0,0,1794960,0m1.859s
5,tiff,0,0,0,0,1794960,0m1.858s
6,tiff,0,0,0,1,1794967,0m1.875s
7,tiff,0,1,1,0,1795000,0m1.866s
8,png,1,1,1,1,1615739,0m3.539s
9,png,1,1,0,1,1615733,0m3.512s
