configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,4914796,3.5
1,50%,xz,-3,1,4914796,3.472
10,100%,xz,-9,1,4489868,4.242
11,50%,lzma,-6,16,4489170,4.269
12,75%,xz,-3,32,4914796,3.457
13,50%,lzma,-3,16,4913990,3.528
14,50%,lzma,-6,32,4489170,4.241
15,50%,xz,-6,32,4489912,4.222
16,75%,lzma,-3,16,4913990,3.465
17,75%,lzma,-6,32,4489170,4.249
18,100%,lzma,-6,1,4489170,4.225
19,75%,lzma,-3,1,4913990,3.472
2,75%,xz,-9,16,4489868,4.236
20,75%,lzma,-6,1,4489170,4.227
21,75%,lzma,-6,16,4489170,4.223
22,100%,xz,-9,32,4489868,4.254
23,100%,xz,-9,16,4489868,4.221
24,50%,lzma,-9,32,4489124,4.235
25,50%,lzma,-3,32,4913990,3.462
26,100%,xz,-3,1,4914796,3.467
27,100%,lzma,-9,16,4489124,4.331
28,100%,lzma,-3,1,4913990,3.462
29,50%,lzma,-6,1,4489170,4.224
3,100%,xz,-6,32,4489912,4.279
4,50%,lzma,-3,1,4913990,3.513
5,75%,xz,-3,1,4914796,3.504
6,100%,lzma,-6,16,4489170,4.259
7,75%,xz,-6,32,4489912,4.299
8,50%,xz,-3,32,4914796,3.491
9,75%,xz,-9,32,4489868,4.254
