configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1536650,1.861
1,tiff,1,1,0,1,1536660,1.87
10,png,1,0,1,1,1615771,3.516
11,png,1,0,0,1,1615755,3.534
12,png,0,1,0,0,1843159,3.708
13,png,0,0,0,0,1843146,3.657
14,png,0,0,0,1,1843172,3.687
15,png,0,1,1,0,1843152,3.728
2,tiff,1,0,1,1,1536662,1.878
3,tiff,1,0,0,1,1536654,1.834
4,tiff,0,1,0,0,1795136,1.91
5,tiff,0,0,0,0,1795021,1.841
6,tiff,0,0,0,1,1795004,1.839
7,tiff,0,1,1,0,1795128,1.894
8,png,1,1,1,1,1615767,3.565
9,png,1,1,0,1,1615764,3.527
