configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,175495,0.202
1,tiff,1,1,0,1,175428,0.168
10,png,1,0,1,1,169391,0.199
11,png,1,0,0,1,169391,0.171
12,png,0,1,0,0,1185042,2.956
13,png,0,0,0,0,1185031,2.868
14,png,0,0,0,1,1184904,2.878
15,png,0,1,1,0,1185039,2.887
2,tiff,1,0,1,1,175512,0.171
3,tiff,1,0,0,1,175433,0.19
4,tiff,0,1,0,0,1698446,0.371
5,tiff,0,0,0,0,1698409,0.381
6,tiff,0,0,0,1,1696510,0.369
7,tiff,0,1,1,0,1698328,0.345
8,png,1,1,1,1,169386,0.172
9,png,1,1,0,1,169386,0.172
