configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,2213107,4.176
1,tiff,1,1,0,1,2214465,4.18
10,png,1,0,1,1,1753337,8.181
11,png,1,0,0,1,1753301,8.223
12,png,0,1,0,0,1894485,8.222
13,png,0,0,0,0,1894561,8.225
14,png,0,0,0,1,1894327,8.261
15,png,0,1,1,0,1894602,8.295
2,tiff,1,0,1,1,2214499,4.227
3,tiff,1,0,0,1,2214629,4.135
4,tiff,0,1,0,0,2400357,4.228
5,tiff,0,0,0,0,2400428,4.233
6,tiff,0,0,0,1,2401012,4.189
7,tiff,0,1,1,0,2400382,4.18
8,png,1,1,1,1,1753372,8.236
9,png,1,1,0,1,1753350,8.234
