configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,6362679,0m6.068s
1,tiff,1,1,0,1,6362681,0m6.131s
10,png,1,0,1,1,6662496,0m12.325s
11,png,1,0,0,1,6662485,0m12.342s
12,png,0,1,0,0,10651930,0m31.985s
13,png,0,0,0,0,10651938,0m31.786s
14,png,0,0,0,1,10651977,0m31.649s
15,png,0,1,1,0,10651946,0m31.781s
2,tiff,1,0,1,1,6362683,0m6.031s
3,tiff,1,0,0,1,6362676,0m6.103s
4,tiff,0,1,0,0,11409642,0m9.289s
5,tiff,0,0,0,0,11409603,0m9.264s
6,tiff,0,0,0,1,11409258,0m9.243s
7,tiff,0,1,1,0,11409738,0m9.308s
8,png,1,1,1,1,6662464,0m12.326s
9,png,1,1,0,1,6662736,0m12.228s
