configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,175424,0m0.196s
1,tiff,1,1,0,1,175424,0m0.200s
10,png,1,0,1,1,169469,0m0.199s
11,png,1,0,0,1,169386,0m0.201s
12,png,0,1,0,0,1185028,0m2.930s
13,png,0,0,0,0,1185033,0m2.887s
14,png,0,0,0,1,1184916,0m2.861s
15,png,0,1,1,0,1185026,0m2.883s
2,tiff,1,0,1,1,175426,0m0.197s
3,tiff,1,0,0,1,175426,0m0.224s
4,tiff,0,1,0,0,1698443,0m0.345s
5,tiff,0,0,0,0,1698378,0m0.341s
6,tiff,0,0,0,1,1696528,0m0.341s
7,tiff,0,1,1,0,1698415,0m0.342s
8,png,1,1,1,1,169388,0m0.169s
9,png,1,1,0,1,169388,0m0.173s
