configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1536636,0m1.876s
1,tiff,1,1,0,1,1536649,0m1.860s
10,png,1,0,1,1,1615742,0m3.535s
11,png,1,0,0,1,1615733,0m3.530s
12,png,0,1,0,0,1843125,0m3.658s
13,png,0,0,0,0,1843124,0m3.705s
14,png,0,0,0,1,1843123,0m3.698s
15,png,0,1,1,0,1843123,0m3.742s
2,tiff,1,0,1,1,1536608,0m1.846s
3,tiff,1,0,0,1,1536638,0m1.935s
4,tiff,0,1,0,0,1794972,0m1.865s
5,tiff,0,0,0,0,1794964,0m1.870s
6,tiff,0,0,0,1,1794759,0m1.842s
7,tiff,0,1,1,0,1794977,0m1.838s
8,png,1,1,1,1,1615729,0m3.570s
9,png,1,1,0,1,1615739,0m3.557s
