configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,3273984,0m5.449s
1,tiff,1,1,0,1,3273994,0m5.423s
10,png,1,0,1,1,3254962,0m8.823s
11,png,1,0,0,1,3254956,0m8.791s
12,png,0,1,0,0,8502356,0m26.033s
13,png,0,0,0,0,8502368,0m26.122s
14,png,0,0,0,1,8502349,0m26.056s
15,png,0,1,1,0,8502363,0m26.006s
2,tiff,1,0,1,1,3273935,0m5.497s
3,tiff,1,0,0,1,3273966,0m5.467s
4,tiff,0,1,0,0,10068864,0m6.095s
5,tiff,0,0,0,0,10068806,0m6.175s
6,tiff,0,0,0,1,10068836,0m6.119s
7,tiff,0,1,1,0,10068898,0m6.174s
8,png,1,1,1,1,3254938,0m8.770s
9,png,1,1,0,1,3254935,0m8.849s
