configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1612686,0m1.302s
1,tiff,1,1,0,1,1612681,0m1.340s
10,png,1,0,1,1,1577748,0m3.109s
11,png,1,0,0,1,1577757,0m3.090s
12,png,0,1,0,0,2357325,0m5.063s
13,png,0,0,0,0,2357338,0m5.061s
14,png,0,0,0,1,2341688,0m4.859s
15,png,0,1,1,0,2357333,0m5.087s
2,tiff,1,0,1,1,1612686,0m1.359s
3,tiff,1,0,0,1,1612706,0m1.335s
4,tiff,0,1,0,0,2762502,0m1.402s
5,tiff,0,0,0,0,2761910,0m1.424s
6,tiff,0,0,0,1,2745080,0m1.393s
7,tiff,0,1,1,0,2762503,0m1.393s
8,png,1,1,1,1,1577749,0m3.094s
9,png,1,1,0,1,1577735,0m3.081s
