configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,2213079,0m4.176s
1,tiff,1,1,0,1,2213162,0m4.187s
10,png,1,0,1,1,1753303,0m8.201s
11,png,1,0,0,1,1753368,0m8.207s
12,png,0,1,0,0,1894340,0m8.278s
13,png,0,0,0,0,1894343,0m8.314s
14,png,0,0,0,1,1894268,0m8.227s
15,png,0,1,1,0,1894350,0m8.307s
2,tiff,1,0,1,1,2213357,0m4.240s
3,tiff,1,0,0,1,2213361,0m4.144s
4,tiff,0,1,0,0,2400172,0m4.285s
5,tiff,0,0,0,0,2400396,0m4.212s
6,tiff,0,0,0,1,2401491,0m4.164s
7,tiff,0,1,1,0,2400980,0m4.224s
8,png,1,1,1,1,1753470,0m8.190s
9,png,1,1,0,1,1753292,0m8.219s
