configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,739165,0m1.741s
1,tiff,1,1,0,1,739162,0m1.735s
10,png,1,0,1,1,739165,0m1.692s
11,png,1,0,0,1,739159,0m1.704s
12,png,0,1,0,0,3168072,0m5.435s
13,png,0,0,0,0,3168074,0m5.436s
14,png,0,0,0,1,3168072,0m5.403s
15,png,0,1,1,0,3168072,0m5.403s
2,tiff,1,0,1,1,739161,0m1.697s
3,tiff,1,0,0,1,739164,0m1.723s
4,tiff,0,1,0,0,4807717,0m1.823s
5,tiff,0,0,0,0,4807629,0m1.829s
6,tiff,0,0,0,1,4807631,0m1.832s
7,tiff,0,1,1,0,4807630,0m1.840s
8,png,1,1,1,1,739161,0m1.725s
9,png,1,1,0,1,739161,0m1.727s
