configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1612693,0m1.346s
1,tiff,1,1,0,1,1612681,0m1.353s
10,png,1,0,1,1,1577746,0m3.106s
11,png,1,0,0,1,1577737,0m3.105s
12,png,0,1,0,0,2357343,0m5.095s
13,png,0,0,0,0,2357338,0m5.051s
14,png,0,0,0,1,2341683,0m4.883s
15,png,0,1,1,0,2357349,0m5.044s
2,tiff,1,0,1,1,1612687,0m1.344s
3,tiff,1,0,0,1,1612682,0m1.348s
4,tiff,0,1,0,0,2762578,0m1.401s
5,tiff,0,0,0,0,2762113,0m1.417s
6,tiff,0,0,0,1,2745020,0m1.383s
7,tiff,0,1,1,0,2761941,0m1.409s
8,png,1,1,1,1,1577738,0m3.103s
9,png,1,1,0,1,1577760,0m3.139s
