configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,15255407,0m8.335s
1,tiff,1,1,0,1,15255440,0m8.292s
10,png,1,0,1,1,15095106,0m24.963s
11,png,1,0,0,1,15095098,0m24.966s
12,png,0,1,0,0,14807408,0m31.663s
13,png,0,0,0,0,14807367,0m31.607s
14,png,0,0,0,1,14807381,0m31.647s
15,png,0,1,1,0,14807391,0m31.581s
2,tiff,1,0,1,1,15255372,0m8.321s
3,tiff,1,0,0,1,15255385,0m8.290s
4,tiff,0,1,0,0,14377621,0m8.861s
5,tiff,0,0,0,0,14377453,0m8.853s
6,tiff,0,0,0,1,14377451,0m9.190s
7,tiff,0,1,1,0,14376927,0m8.836s
8,png,1,1,1,1,15095118,0m24.847s
9,png,1,1,0,1,15095089,0m25.131s
