configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1612674,0m1.316s
1,tiff,1,1,0,1,1612672,0m1.332s
10,png,1,0,1,1,1577755,0m3.140s
11,png,1,0,0,1,1577746,0m3.086s
12,png,0,1,0,0,2357325,0m5.049s
13,png,0,0,0,0,2357338,0m5.075s
14,png,0,0,0,1,2341675,0m4.856s
15,png,0,1,1,0,2357321,0m5.074s
2,tiff,1,0,1,1,1612696,0m1.363s
3,tiff,1,0,0,1,1612697,0m1.298s
4,tiff,0,1,0,0,2761920,0m1.421s
5,tiff,0,0,0,0,2762574,0m1.413s
6,tiff,0,0,0,1,2745087,0m1.369s
7,tiff,0,1,1,0,2762574,0m1.387s
8,png,1,1,1,1,1577753,0m3.069s
9,png,1,1,0,1,1577739,0m3.086s
