configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,2214637,0m4.164s
1,tiff,1,1,0,1,2213107,0m4.255s
10,png,1,0,1,1,1753402,0m8.277s
11,png,1,0,0,1,1753415,0m8.215s
12,png,0,1,0,0,1894280,0m8.260s
13,png,0,0,0,0,1894512,0m8.278s
14,png,0,0,0,1,1894258,0m8.256s
15,png,0,1,1,0,1894383,0m8.315s
2,tiff,1,0,1,1,2213180,0m4.136s
3,tiff,1,0,0,1,2214694,0m4.178s
4,tiff,0,1,0,0,2401437,0m4.196s
5,tiff,0,0,0,0,2400838,0m4.180s
6,tiff,0,0,0,1,2400867,0m4.182s
7,tiff,0,1,1,0,2400017,0m4.156s
8,png,1,1,1,1,1753533,0m8.209s
9,png,1,1,0,1,1753286,0m8.220s
