configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,112,0m3.189s
1,tiff,1,1,0,1,112,0m3.159s
10,png,1,0,1,1,112,0m3.167s
11,png,1,0,0,1,112,0m3.132s
12,png,0,1,0,0,112,0m3.159s
13,png,0,0,0,0,112,0m3.156s
14,png,0,0,0,1,112,0m3.159s
15,png,0,1,1,0,112,0m3.163s
2,tiff,1,0,1,1,112,0m3.152s
3,tiff,1,0,0,1,112,0m3.144s
4,tiff,0,1,0,0,112,0m3.134s
5,tiff,0,0,0,0,112,0m3.165s
6,tiff,0,0,0,1,112,0m3.165s
7,tiff,0,1,1,0,112,0m3.155s
8,png,1,1,1,1,112,0m3.175s
9,png,1,1,0,1,112,0m3.131s
