configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,0.015914150973985103
1,1,1,0,1,0,1,0.01591239866607342
10,1,0,1,1,1,0,0.01577788843162105
11,1,0,1,1,1,1,0.015987649163065613
12,0,0,1,1,1,1,0.015899648814857534
13,1,0,1,0,1,1,0.01597634820124245
14,0,1,1,1,0,0,0.015980882745097614
15,0,0,1,0,0,1,0.016090622088291158
16,1,1,1,1,0,1,0.015819914487611726
17,0,1,0,1,0,1,0.015905862136478554
18,0,1,0,0,1,0,0.015809894856261227
19,0,1,0,0,0,1,0.01595340955287214
2,1,0,1,1,0,0,0.015811521496785816
20,1,0,0,0,0,1,0.01596230541979371
21,0,0,0,0,0,1,0.01602568539332966
22,1,1,0,1,0,0,0.01587265684850329
23,0,1,1,0,1,0,0.01610377630372475
24,1,1,1,1,1,0,0.015903810570161294
25,0,1,1,0,0,1,0.015938167582725867
26,1,1,1,0,0,0,0.015826674887400943
27,0,0,1,0,1,0,0.015973676609024275
28,1,0,0,0,1,0,0.015914504774255617
29,1,1,0,0,1,1,0.015965608240858967
3,1,0,1,0,0,0,0.016107425548480655
4,1,1,1,1,1,1,0.015913427008586733
5,1,0,0,1,1,1,0.015869412201673344
6,1,0,0,1,0,1,0.01605241941576292
7,0,0,0,1,1,1,0.015950458926442968
8,0,0,1,1,0,1,0.015889128832262456
9,0,1,1,1,1,1,0.01582758905055369
