configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,25954.94740229909
1,1,1,0,1,0,1,24730.01011457414
10,1,0,1,1,1,0,26128.14811524604
11,1,0,1,1,1,1,25402.05096159464
12,0,0,1,1,1,1,26085.89040274006
13,1,0,1,0,1,1,25956.025301933463
14,0,1,1,1,0,0,25600.26214668438
15,0,0,1,0,0,1,25561.457412055806
16,1,1,1,1,0,1,26120.84547952648
17,0,1,0,1,0,1,25792.27418219147
18,0,1,0,0,1,0,24421.873206518692
19,0,1,0,0,0,1,26208.610052574477
2,1,0,1,1,0,0,26163.96959746733
20,1,0,0,0,0,1,25890.16872622959
21,0,0,0,0,0,1,26171.090889581552
22,1,1,0,1,0,0,26337.691343327606
23,0,1,1,0,1,0,26136.137915172552
24,1,1,1,1,1,0,25041.38088190735
25,0,1,1,0,0,1,25941.95228756136
26,1,1,1,0,0,0,26131.903395579528
27,0,0,1,0,1,0,25893.587711939013
28,1,0,0,0,1,0,26231.365893453443
29,1,1,0,0,1,1,25562.960293053773
3,1,0,1,0,0,0,24969.100737836925
4,1,1,1,1,1,1,25930.314871813487
5,1,0,0,1,1,1,25931.92868719611
6,1,0,0,1,0,1,25767.41813047074
7,0,0,0,1,1,1,26062.9785814442
8,0,0,1,1,0,1,26271.404626919786
9,0,1,1,1,1,1,25697.62631025772
