configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,3273938,5.466
1,tiff,1,1,0,1,3273998,5.458
10,png,1,0,1,1,3254927,8.771
11,png,1,0,0,1,3254939,8.79
12,png,0,1,0,0,8502340,26.088
13,png,0,0,0,0,8502344,26.048
14,png,0,0,0,1,8502370,26.142
15,png,0,1,1,0,8502332,25.957
2,tiff,1,0,1,1,3273993,5.476
3,tiff,1,0,0,1,3273916,5.453
4,tiff,0,1,0,0,10068875,6.123
5,tiff,0,0,0,0,10068841,6.204
6,tiff,0,0,0,1,10068811,6.11
7,tiff,0,1,1,0,10068849,6.133
8,png,1,1,1,1,3254952,8.833
9,png,1,1,0,1,3254940,8.868
