configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,6362661,6.031
1,tiff,1,1,0,1,6362674,6.058
10,png,1,0,1,1,6662725,12.225
11,png,1,0,0,1,6662444,12.314
12,png,0,1,0,0,10651970,31.922
13,png,0,0,0,0,10652090,31.679
14,png,0,0,0,1,10651901,32.01
15,png,0,1,1,0,10651922,31.829
2,tiff,1,0,1,1,6362661,6.083
3,tiff,1,0,0,1,6362657,6.137
4,tiff,0,1,0,0,11408927,9.278
5,tiff,0,0,0,0,11409912,9.385
6,tiff,0,0,0,1,11409529,9.431
7,tiff,0,1,1,0,11409263,9.275
8,png,1,1,1,1,6662515,12.281
9,png,1,1,0,1,6662470,12.307
