configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1536644,1.874
1,tiff,1,1,0,1,1536656,1.838
10,png,1,0,1,1,1615758,3.551
11,png,1,0,0,1,1615765,3.542
12,png,0,1,0,0,1843152,3.688
13,png,0,0,0,0,1843145,3.686
14,png,0,0,0,1,1843140,3.727
15,png,0,1,1,0,1843147,3.712
2,tiff,1,0,1,1,1536636,1.849
3,tiff,1,0,0,1,1536653,1.878
4,tiff,0,1,0,0,1795115,1.839
5,tiff,0,0,0,0,1795124,1.86
6,tiff,0,0,0,1,1795021,1.843
7,tiff,0,1,1,0,1795115,1.841
8,png,1,1,1,1,1615750,3.553
9,png,1,1,0,1,1615762,3.529
