configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,739164,1.686
1,tiff,1,1,0,1,739165,1.768
10,png,1,0,1,1,739165,1.706
11,png,1,0,0,1,739163,1.726
12,png,0,1,0,0,3168075,5.381
13,png,0,0,0,0,3168073,5.377
14,png,0,0,0,1,3168070,5.435
15,png,0,1,1,0,3168074,5.417
2,tiff,1,0,1,1,739165,1.762
3,tiff,1,0,0,1,739165,1.694
4,tiff,0,1,0,0,4807710,1.812
5,tiff,0,0,0,0,4807630,1.828
6,tiff,0,0,0,1,4807740,1.807
7,tiff,0,1,1,0,4807625,1.816
8,png,1,1,1,1,739165,1.728
9,png,1,1,0,1,739165,1.717
