configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,2213309,4.205
1,tiff,1,1,0,1,2214552,4.194
10,png,1,0,1,1,1753409,8.238
11,png,1,0,0,1,1753348,8.252
12,png,0,1,0,0,1894647,8.314
13,png,0,0,0,0,1894301,8.34
14,png,0,0,0,1,1894527,8.281
15,png,0,1,1,0,1894401,8.36
2,tiff,1,0,1,1,2213221,4.198
3,tiff,1,0,0,1,2213215,4.187
4,tiff,0,1,0,0,2400435,4.257
5,tiff,0,0,0,0,2401761,4.283
6,tiff,0,0,0,1,2401292,4.228
7,tiff,0,1,1,0,2400466,4.216
8,png,1,1,1,1,1753433,8.308
9,png,1,1,0,1,1753364,8.207
