configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,112,0m3.161s
1,tiff,1,1,0,1,112,0m3.160s
10,png,1,0,1,1,112,0m3.192s
11,png,1,0,0,1,112,0m3.154s
12,png,0,1,0,0,112,0m3.155s
13,png,0,0,0,0,112,0m3.151s
14,png,0,0,0,1,112,0m3.174s
15,png,0,1,1,0,112,0m3.172s
2,tiff,1,0,1,1,112,0m3.183s
3,tiff,1,0,0,1,112,0m3.194s
4,tiff,0,1,0,0,112,0m3.179s
5,tiff,0,0,0,0,112,0m3.190s
6,tiff,0,0,0,1,112,0m3.190s
7,tiff,0,1,1,0,112,0m3.155s
8,png,1,1,1,1,112,0m3.178s
9,png,1,1,0,1,112,0m3.159s
