configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1536658,1.855
1,tiff,1,1,0,1,1536658,1.877
10,png,1,0,1,1,1615746,3.519
11,png,1,0,0,1,1615769,3.617
12,png,0,1,0,0,1843147,3.704
13,png,0,0,0,0,1843157,3.75
14,png,0,0,0,1,1843160,3.679
15,png,0,1,1,0,1843144,3.696
2,tiff,1,0,1,1,1536662,1.878
3,tiff,1,0,0,1,1536636,1.926
4,tiff,0,1,0,0,1795002,1.865
5,tiff,0,0,0,0,1795129,1.918
6,tiff,0,0,0,1,1795124,1.889
7,tiff,0,1,1,0,1795164,1.901
8,png,1,1,1,1,1615759,3.553
9,png,1,1,0,1,1615768,3.531
