configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,175431,0.176
1,tiff,1,1,0,1,175434,0.201
10,png,1,0,1,1,169392,0.202
11,png,1,0,0,1,169392,0.174
12,png,0,1,0,0,1185030,2.927
13,png,0,0,0,0,1185032,2.936
14,png,0,0,0,1,1184892,2.879
15,png,0,1,1,0,1185023,2.933
2,tiff,1,0,1,1,175491,0.2
3,tiff,1,0,0,1,175433,0.198
4,tiff,0,1,0,0,1698337,0.352
5,tiff,0,0,0,0,1698324,0.35
6,tiff,0,0,0,1,1696602,0.349
7,tiff,0,1,1,0,1698335,0.353
8,png,1,1,1,1,169393,0.169
9,png,1,1,0,1,169393,0.201
