configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,6362645,6.153
1,tiff,1,1,0,1,6362672,6.19
10,png,1,0,1,1,6662449,12.41
11,png,1,0,0,1,6662470,12.48
12,png,0,1,0,0,10651942,31.857
13,png,0,0,0,0,10651890,31.904
14,png,0,0,0,1,10651910,31.876
15,png,0,1,1,0,10651952,31.894
2,tiff,1,0,1,1,6362687,6.095
3,tiff,1,0,0,1,6362679,6.111
4,tiff,0,1,0,0,11409764,9.36
5,tiff,0,0,0,0,11409291,9.369
6,tiff,0,0,0,1,11409735,9.291
7,tiff,0,1,1,0,11409586,9.389
8,png,1,1,1,1,6662713,12.355
9,png,1,1,0,1,6662475,12.356
