configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1205581,1.183
1,tiff,1,1,0,1,1205632,1.207
10,png,1,0,1,1,1349701,2.537
11,png,1,0,0,1,1349669,2.539
12,png,0,1,0,0,3177575,5.03
13,png,0,0,0,0,3177575,5.028
14,png,0,0,0,1,3177569,5.018
15,png,0,1,1,0,3177567,5.035
2,tiff,1,0,1,1,1205620,1.235
3,tiff,1,0,0,1,1205576,1.208
4,tiff,0,1,0,0,3875956,1.31
5,tiff,0,0,0,0,3875974,1.378
6,tiff,0,0,0,1,3876316,1.364
7,tiff,0,1,1,0,3876316,1.33
8,png,1,1,1,1,1349704,2.506
9,png,1,1,0,1,1349725,2.515
