configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,515648,0.443
1,50%,xz,-3,1,515648,0.457
10,100%,xz,-9,1,453260,1.503
11,50%,lzma,-6,16,453144,1.445
12,75%,xz,-3,32,515648,0.46
13,50%,lzma,-3,16,515524,0.428
14,50%,lzma,-6,32,453144,1.421
15,50%,xz,-6,32,453260,1.434
16,75%,lzma,-3,16,515524,0.459
17,75%,lzma,-6,32,453144,1.421
18,100%,lzma,-6,1,453144,1.44
19,75%,lzma,-3,1,515524,0.452
2,75%,xz,-9,16,453260,1.51
20,75%,lzma,-6,1,453144,1.441
21,75%,lzma,-6,16,453144,1.441
22,100%,xz,-9,32,453260,1.468
23,100%,xz,-9,16,453260,1.492
24,50%,lzma,-9,32,453144,1.5
25,50%,lzma,-3,32,515524,0.451
26,100%,xz,-3,1,515648,0.432
27,100%,lzma,-9,16,453144,1.465
28,100%,lzma,-3,1,515524,0.434
29,50%,lzma,-6,1,453144,1.447
3,100%,xz,-6,32,453260,1.421
4,50%,lzma,-3,1,515524,0.429
5,75%,xz,-3,1,515648,0.44
6,100%,lzma,-6,16,453144,1.442
7,75%,xz,-6,32,453260,1.44
8,50%,xz,-3,32,515648,0.458
9,75%,xz,-9,32,453260,1.476
