configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,0.281480370105308
1,1,1,0,1,0,1,0.059558902777171414
10,1,0,1,1,1,0,0.059848218793929674
11,1,0,1,1,1,1,0.059313427720743814
12,0,0,1,1,1,1,0.2768309469168121
13,1,0,1,0,1,1,0.059431653282630566
14,0,1,1,1,0,0,0.2888421959489115
15,0,0,1,0,0,1,0.2791885027795566
16,1,1,1,1,0,1,0.059538906822167184
17,0,1,0,1,0,1,0.2722120311331168
18,0,1,0,0,1,0,0.2843157070396965
19,0,1,0,0,0,1,0.2763473588584988
2,1,0,1,1,0,0,0.059921800247292635
20,1,0,0,0,0,1,0.059446437636466176
21,0,0,0,0,0,1,0.2697852205626417
22,1,1,0,1,0,0,0.059280388931119914
23,0,1,1,0,1,0,0.2850807908818713
24,1,1,1,1,1,0,0.05958442630922438
25,0,1,1,0,0,1,0.2755412369962046
26,1,1,1,0,0,0,0.05940019755029057
27,0,0,1,0,1,0,0.2830898633646641
28,1,0,0,0,1,0,0.05947267915567552
29,1,1,0,0,1,1,0.0597028584904294
3,1,0,1,0,0,0,0.058829268407402685
4,1,1,1,1,1,1,0.059117816778615176
5,1,0,0,1,1,1,0.05918708681863692
6,1,0,0,1,0,1,0.05953212690309195
7,0,0,0,1,1,1,0.27518949488400235
8,0,0,1,1,0,1,0.2779648002858243
9,0,1,1,1,1,1,0.2754467035066245
