configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,10432656,5.187
1,50%,xz,-3,1,10362252,12.378
10,100%,xz,-9,1,8385868,34.322
11,50%,lzma,-6,16,8627467,29.995
12,75%,xz,-3,32,10432656,5.202
13,50%,lzma,-3,16,10360607,12.399
14,50%,lzma,-6,32,8627467,30.1
15,50%,xz,-6,32,8712308,18.691
16,75%,lzma,-3,16,10360607,12.546
17,75%,lzma,-6,32,8627467,29.912
18,100%,lzma,-6,1,8627467,29.946
19,75%,lzma,-3,1,10360607,12.498
2,75%,xz,-9,16,8385876,34.511
20,75%,lzma,-6,1,8627467,29.79
21,75%,lzma,-6,16,8627467,29.87
22,100%,xz,-9,32,8385876,34.368
23,100%,xz,-9,16,8385876,34.43
24,50%,lzma,-9,32,8384529,34.297
25,50%,lzma,-3,32,10360607,12.419
26,100%,xz,-3,1,10362252,12.342
27,100%,lzma,-9,16,8384529,34.281
28,100%,lzma,-3,1,10360607,12.551
29,50%,lzma,-6,1,8627467,29.759
3,100%,xz,-6,32,8712308,18.659
4,50%,lzma,-3,1,10360607,12.495
5,75%,xz,-3,1,10362252,12.347
6,100%,lzma,-6,16,8627467,30.053
7,75%,xz,-6,32,8712308,18.76
8,50%,xz,-3,32,10432656,5.284
9,75%,xz,-9,32,8385876,34.456
