configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,14838428,3.152
1,50%,xz,-3,1,14777004,9.687
10,100%,xz,-9,1,13374160,27.256
11,50%,lzma,-6,16,13497551,24.353
12,75%,xz,-3,32,14838428,3.15
13,50%,lzma,-3,16,14775082,9.695
14,50%,lzma,-6,32,13497551,24.47
15,50%,xz,-6,32,13577880,12.848
16,75%,lzma,-3,16,14775082,9.712
17,75%,lzma,-6,32,13497551,24.278
18,100%,lzma,-6,1,13497551,24.271
19,75%,lzma,-3,1,14775082,9.694
2,75%,xz,-9,16,13374168,27.307
20,75%,lzma,-6,1,13497551,24.25
21,75%,lzma,-6,16,13497551,24.245
22,100%,xz,-9,32,13374168,27.282
23,100%,xz,-9,16,13374168,27.29
24,50%,lzma,-9,32,13365111,27.408
25,50%,lzma,-3,32,14775082,9.755
26,100%,xz,-3,1,14777004,9.72
27,100%,lzma,-9,16,13365111,27.293
28,100%,lzma,-3,1,14775082,9.723
29,50%,lzma,-6,1,13497551,24.167
3,100%,xz,-6,32,13577880,12.833
4,50%,lzma,-3,1,14775082,9.666
5,75%,xz,-3,1,14777004,9.773
6,100%,lzma,-6,16,13497551,24.438
7,75%,xz,-6,32,13577880,12.894
8,50%,xz,-3,32,14838428,3.156
9,75%,xz,-9,32,13374168,27.284
